v1 v2 v3
0.723718557887481 q 7
-0.771772693287783 r 3
5.22537273716341 r 4
7.1044373626114 y 3
5.73632564971162 k 5
-2.03830791860758 w 4
0.722679182210574 r 1
-1.15544377695282 x 1
5.19529868626488 k 9
-0.400154378717286 e 3
1.64934600450756 s 0
-2.74416075901065 m 3
1.80578695659181 s 2
2.84169648869482 z 5
0.22605490894341 z 2
-3.26901154525234 c 3
5.10128252848258 y 3
7.78358969743484 g 3
7.0953553997348 e 2
-0.739483461329083 g 1
7.31806042001083 q 4
2.37231697682789 b 2
11.5976064158899 u 2
1.25396930427409 l 2
-2.23479073972392 x 1
0.570572485737668 x 1
4.65076956415052 w 3
5.6774412881169 u 1
4.72217488934409 q 4
-2.25538012714048 t 1
-4.52279114471647 m 4
2.39680522567429 o 3
1.28298503061413 d 3
-5.34584110357122 m 6
3.5205083452598 t 2
0.0559516838122762 d 3
1.50840343599843 b 4
-0.926776101196573 m 3
2.40944060360417 t 0
3.19302502398803 b 1
1.87058555070384 i 1
-2.29554404719275 z 1
-0.130573985506362 s 3
-1.16528317926124 i 5
-0.192692758867362 o 2
-1.01129934211829 x 5
1.92849887365214 n 2
2.56818736522883 o 2
4.83926374782355 v 1
-5.34590272787175 u 2
2.36267028587735 v 3
3.73468330033582 i 3
6.74235729053847 n 2
1.92574236989264 q 3
2.67730686209489 c 3
2.74413652216172 j 7
-1.71258475398402 y 0
2.14171188523828 a 6
6.03113119633089 h 5
2.19431076446512 z 1
7.72685422524739 f 3
4.11908160161691 x 3
-3.74866251526779 v 0
4.00768135490427 u 1
1.09328205473856 h 2
4.29150063682155 a 3
0.865104118716268 i 5
-0.205183604100575 r 0
-1.17341836974844 a 2
1.45052270986747 p 5
-1.27757078427026 u 2
-0.118495486798892 p 2
3.62300732080822 m 5
7.36704716701126 k 3
13.292204053843 q 3
0.820778841088943 r 3
2.80202985956288 a 2
-1.59654058361913 d 6
1.4844378203069 z 0
4.49586808606434 d 0
4.21909061695273 i 3
-2.18503866257619 f 1
7.81882866246893 v 2
-3.09140082792478 i 4
5.91280569977349 k 0
-2.55502803560234 m 2
4.84678370387093 j 3
-0.501276586367574 a 2
-5.59305534492576 x 4
-1.75355580248565 o 1
1.0538460920308 y 2
3.98096429661158 q 0
3.09748540706989 d 4
-0.0699452579591493 z 0
-0.974377172545144 r 5
5.53863653489711 s 4
1.98857960640813 r 1
0.972164718833997 d 0
3.773965124995 g 4
6.02585765545395 o 2
4.76102495510966 t 3
-3.38374027058945 p 2
-2.84859432483854 c 4
2.13811136283934 m 2
-2.19430460400858 e 3
-6.5503482852668 u 6
-0.938030002289008 w 2
