ex1 ex2 ex3 ex4 ex5 ex6 ex7a ex7b
0 1.00074063659242 1.2993673836035 1 0.999228266999125 0.187799046342812 38 0.121221290717008
0 1.91580287028801 100.951945552635 0 0.990381472511217 0.0295229069420487 26 0.391068644875785
1 2.93152325194629 1.60568832673857 0 0.879629386588931 0.123269581204459 22 0.273852090314759
0 2.82092600818397 -1.03795890350668 1 0.985334194963798 0.00408319376938052 50 0.449182004519256
0 1.55230085435386 0.162837639285118 1 0.93590176361613 0.341561924476794 36 0.0075298739043442
1 2.23466837568384 1.09592714931991 1 0.9617990241386 0.0151411351955451 29 0.159391704941079
0 1.92125254263649 -13.1884772825836 1 0.914517465978861 0.52420888887243 26 0.143261699338679
0 2.47479162590686 1.79202913341832 1 0.971385346259922 0.00546105487359433 30 0.195894642934119
0 1.95959225550963 -1.00119909331309 0 0.96464956458658 0.0560278039207526 21 0.381238076900726
0 1.83924770619062 1.65204515622526 1 0.999824930215254 0.0159846195520278 51 0.0861851399688906
0 2.444330425827 17.7703044741481 1 0.978962873108685 0.160704491319785 29 0.0307621899362956
0 2.3564227910417 0.535557020433154 1 0.988401764072478 0.338281179430267 12 0.0918141707173876
0 2.56392846708612 0.774335333987945 0 0.995062930276617 0.420283886473087 32 0.0435651906111554
0 2.74954632727544 192.3067345725 2 0.981866353889927 0.292805333899239 32 0.0659065056164321
1 1.81028316024595 1.10165978524691 2 0.92730821762234 0.077501120863678 38 0.316265706912373
0 2.72256634607647 12.2910047826193 1 0.932847626972944 0.278856342958017 43 0.0433916509831072
1 1.56123557641662 0.780185363801522 1 0.943010366056114 0.0167195308302408 36 0.148155184431819
0 2.39428434985902 1.34068097396152 0 0.942692860495299 0.0649722618345566 20 0.0218756955645576
1 2.3477653489548 0.880689127249174 0 0.979372537694871 0.00698230039792069 26 0.0740719414819535
0 1.32732992543805 -0.107970799312209 2 0.968214738182724 0.223384507843136 28 0.0519148219452315
0 2.58654029648083 3.49136360721958 2 0.836236018221825 0.0802069632892494 13 0.0332139129750431
0 2.06347502268302 -1.10284606145012 0 0.996016843477264 0.0775658668250341 10 0.014476438150681
1 1.91618711979679 0.137117585699782 0 0.706526416819543 0.0499239833154045 26 0.151137635861258
0 2.39646742922238 1.37136328208004 0 0.968099365476519 0.195239955640211 18 0.0805223371667192
1 1.91728585707196 -2.06650031246938 1 0.961891865590587 0.108184112175636 27 0.335674536825319
0 2.23741651615687 0.984664925260893 1 0.914095078129321 0.86380526090928 22 0.309937188284104
1 2.31612001898703 4.58945319585856 1 0.997204585233703 0.00469134334238627 41 0.158023768338322
0 2.23046726012856 0.499897064145178 1 0.905636440496892 0.0975836187587634 49 0.0792835689325993
0 2.47721909210943 -2.29054084570294 0 0.960607043700293 0.0818041573614257 26 0.187809559429742
0 2.39235633124409 1.08772834784711 1 0.861934564309195 0.0282627106754235 32 0.178287419031763
1 1.8908461939027 2.96116694252302 0 0.98191620898433 0.145804925552431 19 0.00898895445405631
0 2.09707392222235 3.46160517283409 2 0.960567063419148 0.436847235849037 44 0.313710244858874
1 2.09860662873962 1.8427928343616 1 0.974460776196793 0.00840362160888202 30 0.0988327772173946
0 1.64777000548468 1.86971803325298 2 0.923293085535988 0.0792647752334378 18 0.0170404385976695
1 2.51274597274622 -0.182540907566896 1 0.974923256086186 0.333016018412246 14 0.0121207479890939
0 2.31158270019363 1.99415020263467 1 0.951076911529526 0.152311490968495 34 0.0378646700945054
0 1.57416213168003 3.84050524347909 1 0.983371894573793 0.10285489941624 43 0.0130383631435898
0 1.1069035160824 2.95408903677332 0 0.985170357162133 0.0150891221261133 21 0.0394133266967696
0 1.19197468084076 1.3287995234618 1 0.997888166224584 0.223081075765692 35 0.0832565083495668
1 1.3679614519556 -0.805513586562477 2 0.934272989630699 0.0143589146700731 26 0.0213849626493187
0 2.1269032604978 -0.211554928382422 1 0.948143256129697 0.0243896893280835 38 0.448182986372071
0 1.92092291165546 1.99075345801656 2 0.972594931256026 0.0123746271924312 29 0.0380832599979397
0 1.7237957991144 1.04705855794692 0 0.99609914328903 0.109354987595321 33 0.0461726394616726
1 2.36990692193295 8.46797826490296 0 0.987258590292186 0.203778574288009 40 0.133307743312579
0 1.21155591646494 2.91873002366823 2 0.99570290138945 0.109502752570581 23 0.102929364305253
0 1.42444978634071 3.98172629630428 1 0.988748844945803 0.0492379911071738 44 0.000743156725067868
1 1.60173931204694 -3.8881941469621 0 0.877883164444938 0.00124415220636536 15 0.0419218937639852
0 1.02249587427222 -1.48047977069594 1 0.913611241150647 0.0548816351464879 30 0.172910207146891
1 2.30703024581427 1.93729642435445 1 0.830503121716902 0.00420510241454061 32 0.177543186576948
0 2.53058083324156 1.27131341279392 0 0.990569724934176 0.0262025118518987 14 0.0123850283605713
0 1.68429780962378 -1.64735696845957 2 0.977840292733163 0.157853734284504 30 0.0668508254268483
1 1.8433762524553 -0.94563681273792 1 0.983846430201083 0.0284252843277131 25 0.112830746812556
0 1.23394346888621 2.36787303953377 1 0.96190435346216 0.029277314886831 33 0.140053157789644
1 2.57032010308029 8.60348557701915 1 0.846668974962085 0.00587682994615007 32 0.0638725833060977
0 2.84763291937745 1.42489361657907 0 0.977620091754943 0.0202312382952555 23 0.109060113569018
1 1.88915452572692 2.06641201321569 2 0.951646178495139 0.128132693502079 44 0.154181426460841
0 1.34571382658812 0.987066544021474 2 0.946996598271653 0.0479529766976349 23 0.0560606010509907
0 2.06780161968215 3.08315555635011 1 0.984740726649761 0.468617668601465 47 0.0382383197319467
1 2.48387608225711 -1.43226773641547 1 0.993616429856047 0.277337605307051 17 0.049270906247953
0 0.993633673139046 0.528391727839678 1 0.985382729908451 0.268920126576354 39 0.0474139213695426
0 2.72960408938543 218.921293743819 0 0.995544910663739 0.195695940866821 27 0.106748986771587
1 2.37142444246471 -0.159243301039487 1 0.937469222582877 0.000912891392074511 34 0.187464363746619
0 1.75396295306684 0.9953349573972 0 0.944752158597112 0.0107687523347592 45 0.015408691283114
0 2.18334182780422 -1.48561683989621 2 0.993833001935855 0.0514829369122714 28 0.0575836641537781
0 1.37160596739001 1.12693217336411 2 0.961564054246992 0.148712929529819 20 0.155529998413374
0 2.14888406418758 1.2087496141356 1 0.974756577052176 0.399075301083669 29 0.0867772617100461
0 2.41252978404784 0.620162238506402 1 0.946930644102395 0.0362214110165922 23 0.387125510711666
1 2.30508798566521 0.483483216060259 2 0.946230415487662 0.11886657837355 19 0.0114937050033819
0 2.29250057557205 0.938411335020693 2 0.956067649880424 0.0305737962117236 29 0.296833266713616
0 2.54491181972716 -3.65206003003558 1 0.991719925776124 0.00351485702919561 39 0.171442519414628
0 2.02782800555154 0.895084651615942 2 0.993111738935113 0.0440993809142569 28 0.185276687743657
0 2.78764697183993 10.064268624813 1 0.967569762375206 0.532521424393711 44 0.010549267538702
0 1.71178797299895 -4.20350570778185 0 0.943597151199356 0.102801097051836 20 0.151932949093912
0 2.23217402844389 -0.321581450059148 2 0.99929572106339 0.0306950791074547 23 0.0662837430482378
1 1.55560042958406 1.0019104211922 1 0.994918631622568 0.0194965235566088 29 0.0239283317146269
1 2.19554106037811 4.05876882192468 1 0.986772939795628 0.183722506389274 21 0.0302421668468899
